,Region,Section,Alignment
75,Other,1,0.7391843886655097
76,Other,10,0.6107450873458282
77,Other,11,0.8176632986199429
78,Other,12,0.8135290661686613
79,Other,13,0.8542833921547486
80,Other,2,0.5967521577251379
81,Other,3,0.6007397188504405
82,Other,4,0.8944599583743797
83,Other,5,0.7565735041335607
84,Other,6,0.797893791103516
85,Other,7,0.7340285242038682
86,Other,8,0.5805290125271708
87,Other,9,0.8049174500209182
88,Other,AllQuestions,0.7300353467138403
89,Other,SectionsAvg,0.7385614884533602
