,Region,Section,Alignment
75,Other,1,0.7395340653148426
76,Other,10,0.5828384923923109
77,Other,11,0.8046281989568124
78,Other,12,0.7491687766804515
79,Other,13,0.8261461066670555
80,Other,2,0.6984183608980933
81,Other,3,0.6456939385621351
82,Other,4,0.8794022678085743
83,Other,5,0.7205338722230323
84,Other,6,0.6756866149486199
85,Other,7,0.699421397770326
86,Other,8,0.8423069004615067
87,Other,9,0.8149066518286889
88,Other,AllQuestions,0.7263733096085784
89,Other,SectionsAvg,0.7445142803471115
