,Region,Section,Alignment
15,Quartile 1,1,0.6028107572129757
16,Quartile 1,10,0.44623114990272117
17,Quartile 1,11,0.6734067114391684
18,Quartile 1,12,0.7077570682141024
19,Quartile 1,13,0.6586757845071846
20,Quartile 1,2,0.7149431470891814
21,Quartile 1,3,0.5358845490015046
22,Quartile 1,4,0.6810543070424675
23,Quartile 1,5,0.67890256754118
24,Quartile 1,6,0.6733007807108105
25,Quartile 1,7,0.6646002332075684
26,Quartile 1,8,0.7523050092777892
27,Quartile 1,9,0.6896202774606887
28,Quartile 1,AllQuestions,0.6321575638393219
29,Quartile 1,SectionsAvg,0.6522686417390264
