,Region,Section,Alignment
45,Quartile 3,1,0.795216682749762
46,Quartile 3,10,0.7373725274036277
47,Quartile 3,11,0.8607238499294428
48,Quartile 3,12,0.7934697960062819
49,Quartile 3,13,0.8096718520901878
50,Quartile 3,2,0.6584529618756073
51,Quartile 3,3,0.6716509452973258
52,Quartile 3,4,0.8045502888024463
53,Quartile 3,5,0.8255944582366183
54,Quartile 3,6,0.8607038678326976
55,Quartile 3,7,0.7394600756843953
56,Quartile 3,8,0.6784269195630357
57,Quartile 3,9,0.8275431455010819
58,Quartile 3,AllQuestions,0.7654874358068982
59,Quartile 3,SectionsAvg,0.7740644131517316
