,Region,Section,Alignment
15,Eurasia or Eastern Europe,1,0.6526125609670466
16,Eurasia or Eastern Europe,10,0.5647580518609675
17,Eurasia or Eastern Europe,11,0.7772475400341511
18,Eurasia or Eastern Europe,12,0.68222238928545
19,Eurasia or Eastern Europe,13,0.7197594729984738
20,Eurasia or Eastern Europe,2,0.7278361810447899
21,Eurasia or Eastern Europe,3,0.6599832024178627
22,Eurasia or Eastern Europe,4,0.7631517052714121
23,Eurasia or Eastern Europe,5,0.7846784909008261
24,Eurasia or Eastern Europe,6,0.6250474539526648
25,Eurasia or Eastern Europe,7,0.6971497125572211
26,Eurasia or Eastern Europe,8,0.7512440322795427
27,Eurasia or Eastern Europe,9,0.705667025397046
28,Eurasia or Eastern Europe,AllQuestions,0.6886979742937901
29,Eurasia or Eastern Europe,SectionsAvg,0.7008736783821118
