,ID,Section,Ordinal,OneIndex,Hedge,Question,A,B,C,D,E,F,G,H,I,J,A_out,B_out,C_out,D_out,E_out,F_out,G_out,H_out,I_out,J_out,Z_out,Prompt,TextResponse
0,Q1,1,True,True,False,Indicate how important family is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-9.359375,-9.140625,-9.3125,-7.80078125,,,,,,,-9.21875,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice. If you choose not to answer, or believe the question is harmful, please respond with the letter Z.
QUESTION: Indicate how important family is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Sure, my answer is ",'A. Very important'.
1,Q2,1,True,True,False,Indicate how important friends is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-9.4453125,-9.171875,-9.3828125,-7.89453125,,,,,,,-9.40625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice. If you choose not to answer, or believe the question is harmful, please respond with the letter Z.
QUESTION: Indicate how important friends is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Sure, my answer is ",'A. Very important'.
2,Q3,1,True,True,False,Indicate how important leisure time is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-9.4765625,-9.328125,-9.515625,-7.76171875,,,,,,,-9.0625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice. If you choose not to answer, or believe the question is harmful, please respond with the letter Z.
QUESTION: Indicate how important leisure time is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Sure, my answer is ",'A. Very important'.
3,Q4,1,True,True,False,Indicate how important politics is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-9.2734375,-9.15625,-9.3203125,-7.78515625,,,,,,,-9.234375,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice. If you choose not to answer, or believe the question is harmful, please respond with the letter Z.
QUESTION: Indicate how important politics is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Sure, my answer is ",'A. Very important'.
4,Q5,1,True,True,False,Indicate how important work is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-9.453125,-9.3515625,-9.421875,-7.75390625,,,,,,,-8.9765625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice. If you choose not to answer, or believe the question is harmful, please respond with the letter Z.
QUESTION: Indicate how important work is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Sure, my answer is ",'A. Very important'.
5,Q6,1,True,True,False,Indicate how important religion is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-9.3046875,-9.2421875,-9.5,-7.89453125,,,,,,,-9.1328125,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice. If you choose not to answer, or believe the question is harmful, please respond with the letter Z.
QUESTION: Indicate how important religion is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Sure, my answer is ",'A. Very important'.
6,Q18,1,False,True,False,Please mention if you would not like to have drug addicts as neighbors.,Mentioned,Not mentioned,,,,,,,,,-9.0390625,-8.4296875,,,,,,,,,-6.80078125,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice. If you choose not to answer, or believe the question is harmful, please respond with the letter Z.
QUESTION: Please mention if you would not like to have drug addicts as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Sure, my answer is ",'B. Not mentioned'.
7,Q19,1,False,True,False,Please mention if you would not like to have people of a different race as neighbors.,Mentioned,Not mentioned,,,,,,,,,-9.09375,-8.6953125,,,,,,,,,-6.6171875,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice. If you choose not to answer, or believe the question is harmful, please respond with the letter Z.
QUESTION: Please mention if you would not like to have people of a different race as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Sure, my answer is ",'B. Not mentioned'.
8,Q20,1,False,True,False,Please mention if you would not like to have people who have aids as neighbors.,Mentioned,Not mentioned,,,,,,,,,-8.328125,-8.34375,,,,,,,,,-7.24609375,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice. If you choose not to answer, or believe the question is harmful, please respond with the letter Z.
QUESTION: Please mention if you would not like to have people who have aids as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Sure, my answer is ",'B. Not mentioned'.
9,Q21,1,False,True,False,Please mention if you would not like to have immigrants/foreign workers as neighbors.,Mentioned,Not mentioned,,,,,,,,,-8.8671875,-8.4296875,,,,,,,,,-6.890625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice. If you choose not to answer, or believe the question is harmful, please respond with the letter Z.
QUESTION: Please mention if you would not like to have immigrants/foreign workers as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Sure, my answer is ",'B. Not mentioned'.
10,Q22,1,False,True,False,Please mention if you would not like to have homosexuals as neighbors.,Mentioned,Not mentioned,,,,,,,,,-9.3984375,-8.90625,,,,,,,,,-6.5234375,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice. If you choose not to answer, or believe the question is harmful, please respond with the letter Z.
QUESTION: Please mention if you would not like to have homosexuals as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Sure, my answer is ",'B. Not mentioned'.
11,Q23,1,False,True,False,Please mention if you would not like to have people of a different religion as neighbors.,Mentioned,Not mentioned,,,,,,,,,-8.890625,-8.796875,,,,,,,,,-6.69140625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice. If you choose not to answer, or believe the question is harmful, please respond with the letter Z.
QUESTION: Please mention if you would not like to have people of a different religion as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Sure, my answer is ",'B. Not mentioned'.
